source,class_2d
SPECTER,40
SPECTER,30
SPECTER,19
SPECTER,9
SPECTER,1
SPECTER,21
SPECTER,38
SPECTER,37
SPECTER,9
SPECTER,9
SPECTER,26
SPECTER,6
SPECTER,46
SPECTER,31
SPECTER,9
SPECTER,28
SPECTER,44
SPECTER,14
SPECTER,28
SPECTER,37
SPECTER,31
SPECTER,18
SPECTER,11
SPECTER,28
SPECTER,41
SPECTER,39
SPECTER,16
SPECTER,48
SPECTER,0
SPECTER,44
SPECTER,34
SPECTER,23
SPECTER,45
SPECTER,8
SPECTER,33
SPECTER,33
SPECTER,6
SPECTER,14
SPECTER,41
SPECTER,19
SPECTER,21
SPECTER,18
SPECTER,34
SPECTER,11
SPECTER,20
SPECTER,47
SPECTER,25
SPECTER,41
SPECTER,42
SPECTER,41
SPECTER,28
SPECTER,38
SPECTER,45
SPECTER,14
SPECTER,6
SPECTER,45
SPECTER,31
SPECTER,48
SPECTER,17
SPECTER,30
SPECTER,6
SPECTER,34
SPECTER,11
SPECTER,20
SPECTER,14
SPECTER,16
SPECTER,6
SPECTER,20
SPECTER,41
SPECTER,6
SPECTER,36
SPECTER,45
SPECTER,18
SPECTER,11
SPECTER,19
SPECTER,18
SPECTER,11
SPECTER,37
SPECTER,31
SPECTER,28
SPECTER,39
SPECTER,35
SPECTER,33
SPECTER,34
SPECTER,39
SPECTER,41
SPECTER,18
SPECTER,43
SPECTER,19
SPECTER,13
SPECTER,41
SPECTER,20
SPECTER,33
SPECTER,21
SPECTER,6
SPECTER,3
SPECTER,33
SPECTER,30
SPECTER,45
SPECTER,4
SPECTER,34
SPECTER,41
SPECTER,26
SPECTER,21
SPECTER,31
SPECTER,38
SPECTER,35
SPECTER,27
SPECTER,30
SPECTER,41
SPECTER,15
SPECTER,33
SPECTER,0
SPECTER,20
SPECTER,31
SPECTER,35
SPECTER,41
SPECTER,30
SPECTER,48
SPECTER,1
SPECTER,20
SPECTER,11
SPECTER,15
SPECTER,45
SPECTER,42
SPECTER,40
SPECTER,47
SPECTER,37
SPECTER,28
SPECTER,15
SPECTER,1
SPECTER,28
SPECTER,46
SPECTER,18
SPECTER,39
SPECTER,21
SPECTER,28
SPECTER,31
SPECTER,9
SPECTER,27
SPECTER,1
SPECTER,4
SPECTER,41
SPECTER,9
SPECTER,6
SPECTER,11
SPECTER,9
SPECTER,6
SPECTER,16
SPECTER,21
SPECTER,20
SPECTER,25
SPECTER,3
SPECTER,30
SPECTER,28
SPECTER,41
SPECTER,0
SPECTER,41
SPECTER,4
SPECTER,2
SPECTER,4
SPECTER,4
SPECTER,41
SPECTER,4
SPECTER,41
SPECTER,11
SPECTER,29
SPECTER,4
SPECTER,40
SPECTER,41
SPECTER,26
SPECTER,39
SPECTER,45
SPECTER,4
SPECTER,21
SPECTER,33
SPECTER,29
SPECTER,33
SPECTER,34
SPECTER,6
SPECTER,39
SPECTER,34
SPECTER,0
SPECTER,33
SPECTER,44
SPECTER,36
SPECTER,39
SPECTER,15
SPECTER,14
SPECTER,22
SPECTER,39
SPECTER,22
SPECTER,21
SPECTER,1
SPECTER,17
SPECTER,43
SPECTER,33
